candidate,office,district,party,county,precinct,votes,election_day,early_voting,mail
Over Votes,State Senate,5,,Clay,606 - First Presbyterian Church,2,0,1,1
Under Votes,State Senate,5,,Clay,606 - First Presbyterian Church,201,23,33,145
Bobby Payne,State House,19,REP,Clay,606 - First Presbyterian Church,2977,364,895,1718
Kimberly Dugger,State House,19,DEM,Clay,606 - First Presbyterian Church,2288,161,433,1694
Over Votes,State House,19,,Clay,606 - First Presbyterian Church,2,0,1,1
Under Votes,State House,19,,Clay,606 - First Presbyterian Church,229,23,36,170
Registered Voters,,,,Clay,610 - Shiloh Missionary Bapt Church,1167,,,
Ballots Cast,,,,Clay,610 - Shiloh Missionary Bapt Church,904,290,413,201
Ballots Cast Blank,,,,Clay,610 - Shiloh Missionary Bapt Church,27,9,12,6
Donald J Trump,President ,,REP,Clay,610 - Shiloh Missionary Bapt Church,794,274,369,151
Joseph R Biden,President ,,DEM,Clay,610 - Shiloh Missionary Bapt Church,104,15,44,45
Jo Jorgensen ,President ,,LPF,Clay,610 - Shiloh Missionary Bapt Church,2,0,0,2
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,610 - Shiloh Missionary Bapt Church,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,610 - Shiloh Missionary Bapt Church,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,610 - Shiloh Missionary Bapt Church,1,0,0,1
Don Blankenship,President ,,CPF,Clay,610 - Shiloh Missionary Bapt Church,1,1,0,0
Write-In,President ,,NPA,Clay,610 - Shiloh Missionary Bapt Church,0,0,0,0
Over Votes,President ,,,Clay,610 - Shiloh Missionary Bapt Church,1,0,0,1
Under Votes,President ,,,Clay,610 - Shiloh Missionary Bapt Church,1,0,0,1
Kat Cammack,US House,3,REP,Clay,610 - Shiloh Missionary Bapt Church,780,266,365,149
Adam Christensen,US House,3,DEM,Clay,610 - Shiloh Missionary Bapt Church,109,18,43,48
Over Votes,US House,3,,Clay,610 - Shiloh Missionary Bapt Church,0,0,0,0
Under Votes,US House,3,,Clay,610 - Shiloh Missionary Bapt Church,15,6,5,4
Jennifer Bradley,State Senate,5,REP,Clay,610 - Shiloh Missionary Bapt Church,795,265,372,158
Melina Rayna Barratt,State Senate,5,DEM,Clay,610 - Shiloh Missionary Bapt Church,90,16,35,39
Over Votes,State Senate,5,,Clay,610 - Shiloh Missionary Bapt Church,0,0,0,0
Under Votes,State Senate,5,,Clay,610 - Shiloh Missionary Bapt Church,19,9,6,4
Bobby Payne,State House,19,REP,Clay,610 - Shiloh Missionary Bapt Church,774,259,365,150
Kimberly Dugger,State House,19,DEM,Clay,610 - Shiloh Missionary Bapt Church,106,21,40,45
Over Votes,State House,19,,Clay,610 - Shiloh Missionary Bapt Church,1,1,0,0
Under Votes,State House,19,,Clay,610 - Shiloh Missionary Bapt Church,23,9,8,6
Registered Voters,,,,Clay,612 -Shiloh Missionary Bapt Church ,865,,,
Ballots Cast,,,,Clay,612 -Shiloh Missionary Bapt Church ,585,184,266,135
Ballots Cast Blank,,,,Clay,612 -Shiloh Missionary Bapt Church ,15,9,6,0
Donald J Trump,President ,,REP,Clay,612 -Shiloh Missionary Bapt Church ,511,170,239,102
Joseph R Biden,President ,,DEM,Clay,612 -Shiloh Missionary Bapt Church ,72,14,25,33
Jo Jorgensen ,President ,,LPF,Clay,612 -Shiloh Missionary Bapt Church ,1,0,1,0
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Don Blankenship,President ,,CPF,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Write-In,President ,,NPA,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Over Votes,President ,,,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Under Votes,President ,,,Clay,612 -Shiloh Missionary Bapt Church ,1,0,1,0
Kat Cammack,US House,3,REP,Clay,612 -Shiloh Missionary Bapt Church ,494,165,229,100
Adam Christensen,US House,3,DEM,Clay,612 -Shiloh Missionary Bapt Church ,81,15,31,35
Over Votes,US House,3,,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Under Votes,US House,3,,Clay,612 -Shiloh Missionary Bapt Church ,10,4,6,0
Jennifer Bradley,State Senate,5,REP,Clay,612 -Shiloh Missionary Bapt Church ,496,160,232,104
Melina Rayna Barratt,State Senate,5,DEM,Clay,612 -Shiloh Missionary Bapt Church ,71,17,25,29
Over Votes,State Senate,5,,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Under Votes,State Senate,5,,Clay,612 -Shiloh Missionary Bapt Church ,18,7,9,2
Bobby Payne,State House,19,REP,Clay,612 -Shiloh Missionary Bapt Church ,481,159,226,96
Kimberly Dugger,State House,19,DEM,Clay,612 -Shiloh Missionary Bapt Church ,88,19,34,35
Over Votes,State House,19,,Clay,612 -Shiloh Missionary Bapt Church ,0,0,0,0
Under Votes,State House,19,,Clay,612 -Shiloh Missionary Bapt Church ,16,6,6,4
Registered Voters,,,,Clay,700 - Kingsley Lake Civic Cent,342,,,
Ballots Cast,,,,Clay,700 - Kingsley Lake Civic Cent,305,169,65,71
Ballots Cast Blank,,,,Clay,700 - Kingsley Lake Civic Cent,17,9,1,7
Donald J Trump,President ,,REP,Clay,700 - Kingsley Lake Civic Cent,276,158,62,56
Joseph R Biden,President ,,DEM,Clay,700 - Kingsley Lake Civic Cent,25,9,3,13
Jo Jorgensen ,President ,,LPF,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Don Blankenship,President ,,CPF,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Write-In,President ,,NPA,Clay,700 - Kingsley Lake Civic Cent,1,1,0,0
Over Votes,President ,,,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Under Votes,President ,,,Clay,700 - Kingsley Lake Civic Cent,3,1,0,2
Kat Cammack,US House,3,REP,Clay,700 - Kingsley Lake Civic Cent,269,155,60,54
Adam Christensen,US House,3,DEM,Clay,700 - Kingsley Lake Civic Cent,28,9,4,15
Over Votes,US House,3,,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Under Votes,US House,3,,Clay,700 - Kingsley Lake Civic Cent,8,5,1,2
Jennifer Bradley,State Senate,5,REP,Clay,700 - Kingsley Lake Civic Cent,278,159,63,56
Melina Rayna Barratt,State Senate,5,DEM,Clay,700 - Kingsley Lake Civic Cent,20,6,2,12
Over Votes,State Senate,5,,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Under Votes,State Senate,5,,Clay,700 - Kingsley Lake Civic Cent,7,4,0,3
Bobby Payne,State House,19,REP,Clay,700 - Kingsley Lake Civic Cent,270,157,61,52
Kimberly Dugger,State House,19,DEM,Clay,700 - Kingsley Lake Civic Cent,26,9,2,15
Over Votes,State House,19,,Clay,700 - Kingsley Lake Civic Cent,0,0,0,0
Under Votes,State House,19,,Clay,700 - Kingsley Lake Civic Cent,9,3,2,4
Registered Voters,,,,Clay,702 - Keystone Heights City Ha,2870,,,
Ballots Cast,,,,Clay,702 - Keystone Heights City Ha,2268,428,1320,520
Ballots Cast Blank,,,,Clay,702 - Keystone Heights City Ha,52,16,19,17
Donald J Trump,President ,,REP,Clay,702 - Keystone Heights City Ha,1780,370,1095,315
Joseph R Biden,President ,,DEM,Clay,702 - Keystone Heights City Ha,449,48,208,193
Jo Jorgensen ,President ,,LPF,Clay,702 - Keystone Heights City Ha,23,8,11,4
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,702 - Keystone Heights City Ha,1,0,1,0
Gloria La Riva ,President ,,PSL,Clay,702 - Keystone Heights City Ha,1,0,0,1
Howie Hawkins,President ,,GRE,Clay,702 - Keystone Heights City Ha,1,0,0,1
Don Blankenship,President ,,CPF,Clay,702 - Keystone Heights City Ha,2,0,0,2
Write-In,President ,,NPA,Clay,702 - Keystone Heights City Ha,5,0,3,2
Over Votes,President ,,,Clay,702 - Keystone Heights City Ha,1,0,0,1
Under Votes,President ,,,Clay,702 - Keystone Heights City Ha,5,2,2,1
Kat Cammack,US House,3,REP,Clay,702 - Keystone Heights City Ha,1756,362,1080,314
Adam Christensen,US House,3,DEM,Clay,702 - Keystone Heights City Ha,455,48,214,193
Over Votes,US House,3,,Clay,702 - Keystone Heights City Ha,0,0,0,0
Under Votes,US House,3,,Clay,702 - Keystone Heights City Ha,57,18,26,13
Jennifer Bradley,State Senate,5,REP,Clay,702 - Keystone Heights City Ha,1774,355,1093,326
Melina Rayna Barratt,State Senate,5,DEM,Clay,702 - Keystone Heights City Ha,415,46,193,176
Over Votes,State Senate,5,,Clay,702 - Keystone Heights City Ha,0,0,0,0
Under Votes,State Senate,5,,Clay,702 - Keystone Heights City Ha,79,27,34,18
Bobby Payne,State House,19,REP,Clay,702 - Keystone Heights City Ha,1723,347,1065,311
Kimberly Dugger,State House,19,DEM,Clay,702 - Keystone Heights City Ha,472,56,226,190
Over Votes,State House,19,,Clay,702 - Keystone Heights City Ha,0,0,0,0
Under Votes,State House,19,,Clay,702 - Keystone Heights City Ha,73,25,29,19
Registered Voters,,,,Clay,704 - First Bapt Church of KH,1881,,,
Ballots Cast,,,,Clay,704 - First Bapt Church of KH,1465,370,786,309
Ballots Cast Blank,,,,Clay,704 - First Bapt Church of KH,28,11,16,1
Donald J Trump,President ,,REP,Clay,704 - First Bapt Church of KH,1156,316,663,176
Joseph R Biden,President ,,DEM,Clay,704 - First Bapt Church of KH,288,43,118,127
Jo Jorgensen ,President ,,LPF,Clay,704 - First Bapt Church of KH,14,9,4,1
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,704 - First Bapt Church of KH,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,704 - First Bapt Church of KH,1,0,0,1
Howie Hawkins,President ,,GRE,Clay,704 - First Bapt Church of KH,2,1,0,1
Don Blankenship,President ,,CPF,Clay,704 - First Bapt Church of KH,0,0,0,0
Write-In,President ,,NPA,Clay,704 - First Bapt Church of KH,0,0,0,0
Over Votes,President ,,,Clay,704 - First Bapt Church of KH,1,0,0,1
Under Votes,President ,,,Clay,704 - First Bapt Church of KH,4,1,1,2
Kat Cammack,US House,3,REP,Clay,704 - First Bapt Church of KH,1124,304,644,176
Adam Christensen,US House,3,DEM,Clay,704 - First Bapt Church of KH,306,49,130,127
Over Votes,US House,3,,Clay,704 - First Bapt Church of KH,0,0,0,0
Under Votes,US House,3,,Clay,704 - First Bapt Church of KH,35,17,12,6
Jennifer Bradley,State Senate,5,REP,Clay,704 - First Bapt Church of KH,1134,304,650,180
Melina Rayna Barratt,State Senate,5,DEM,Clay,704 - First Bapt Church of KH,277,45,113,119
Over Votes,State Senate,5,,Clay,704 - First Bapt Church of KH,0,0,0,0
Under Votes,State Senate,5,,Clay,704 - First Bapt Church of KH,54,21,23,10
Bobby Payne,State House,19,REP,Clay,704 - First Bapt Church of KH,1090,287,632,171
Kimberly Dugger,State House,19,DEM,Clay,704 - First Bapt Church of KH,324,60,135,129
Over Votes,State House,19,,Clay,704 - First Bapt Church of KH,1,1,0,0
Under Votes,State House,19,,Clay,704 - First Bapt Church of KH,50,22,19,9
Registered Voters,,,,Clay,706 - Freedom Baptist Church,3686,,,
Ballots Cast,,,,Clay,706 - Freedom Baptist Church,2720,735,1403,582
Ballots Cast Blank,,,,Clay,706 - Freedom Baptist Church,60,20,34,6
Donald J Trump,President ,,REP,Clay,706 - Freedom Baptist Church,2229,642,1187,400
Joseph R Biden,President ,,DEM,Clay,706 - Freedom Baptist Church,454,84,197,173
Jo Jorgensen ,President ,,LPF,Clay,706 - Freedom Baptist Church,17,4,8,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,706 - Freedom Baptist Church,1,0,1,0
Gloria La Riva ,President ,,PSL,Clay,706 - Freedom Baptist Church,1,0,0,1
Howie Hawkins,President ,,GRE,Clay,706 - Freedom Baptist Church,4,1,2,1
Don Blankenship,President ,,CPF,Clay,706 - Freedom Baptist Church,1,0,1,0
Write-In,President ,,NPA,Clay,706 - Freedom Baptist Church,2,2,0,0
Over Votes,President ,,,Clay,706 - Freedom Baptist Church,5,1,2,2
Under Votes,President ,,,Clay,706 - Freedom Baptist Church,6,1,5,0
Kat Cammack,US House,3,REP,Clay,706 - Freedom Baptist Church,2203,628,1175,400
Adam Christensen,US House,3,DEM,Clay,706 - Freedom Baptist Church,466,91,201,174
Over Votes,US House,3,,Clay,706 - Freedom Baptist Church,1,0,1,0
Under Votes,US House,3,,Clay,706 - Freedom Baptist Church,50,16,26,8
Jennifer Bradley,State Senate,5,REP,Clay,706 - Freedom Baptist Church,2211,622,1187,402
Melina Rayna Barratt,State Senate,5,DEM,Clay,706 - Freedom Baptist Church,431,91,180,160
Over Votes,State Senate,5,,Clay,706 - Freedom Baptist Church,0,0,0,0
Under Votes,State Senate,5,,Clay,706 - Freedom Baptist Church,78,22,36,20
Bobby Payne,State House,19,REP,Clay,706 - Freedom Baptist Church,2131,602,1145,384
Kimberly Dugger,State House,19,DEM,Clay,706 - Freedom Baptist Church,507,111,216,180
Over Votes,State House,19,,Clay,706 - Freedom Baptist Church,0,0,0,0
Under Votes,State House,19,,Clay,706 - Freedom Baptist Church,82,22,42,18
Registered Voters,,,,Clay,708 - Gadara Baptist Church,2271,,,
Ballots Cast,,,,Clay,708 - Gadara Baptist Church,1730,576,834,320
Ballots Cast Blank,,,,Clay,708 - Gadara Baptist Church,34,8,19,7
Donald J Trump,President ,,REP,Clay,708 - Gadara Baptist Church,1496,538,730,228
Joseph R Biden,President ,,DEM,Clay,708 - Gadara Baptist Church,205,29,96,80
Jo Jorgensen ,President ,,LPF,Clay,708 - Gadara Baptist Church,16,7,4,5
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,708 - Gadara Baptist Church,1,0,0,1
Gloria La Riva ,President ,,PSL,Clay,708 - Gadara Baptist Church,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,708 - Gadara Baptist Church,1,0,1,0
Don Blankenship,President ,,CPF,Clay,708 - Gadara Baptist Church,2,1,0,1
Write-In,President ,,NPA,Clay,708 - Gadara Baptist Church,2,1,1,0
Over Votes,President ,,,Clay,708 - Gadara Baptist Church,6,0,1,5
Under Votes,President ,,,Clay,708 - Gadara Baptist Church,1,0,1,0
Kat Cammack,US House,3,REP,Clay,708 - Gadara Baptist Church,1478,525,724,229
Adam Christensen,US House,3,DEM,Clay,708 - Gadara Baptist Church,225,42,99,84
Over Votes,US House,3,,Clay,708 - Gadara Baptist Church,1,0,1,0
Under Votes,US House,3,,Clay,708 - Gadara Baptist Church,26,9,10,7
Jennifer Bradley,State Senate,5,REP,Clay,708 - Gadara Baptist Church,1483,523,727,233
Melina Rayna Barratt,State Senate,5,DEM,Clay,708 - Gadara Baptist Church,200,32,95,73
Over Votes,State Senate,5,,Clay,708 - Gadara Baptist Church,0,0,0,0
Under Votes,State Senate,5,,Clay,708 - Gadara Baptist Church,47,21,12,14
Bobby Payne,State House,19,REP,Clay,708 - Gadara Baptist Church,1448,510,713,225
Kimberly Dugger,State House,19,DEM,Clay,708 - Gadara Baptist Church,237,47,105,85
Over Votes,State House,19,,Clay,708 - Gadara Baptist Church,1,0,1,0
Under Votes,State House,19,,Clay,708 - Gadara Baptist Church,44,19,15,10
Registered Voters,,,,Clay,710 - Penney Farms Town Hall,1119,,,
Ballots Cast,,,,Clay,710 - Penney Farms Town Hall,903,260,261,382
Ballots Cast Blank,,,,Clay,710 - Penney Farms Town Hall,34,14,3,17
Donald J Trump,President ,,REP,Clay,710 - Penney Farms Town Hall,577,168,195,214
Joseph R Biden,President ,,DEM,Clay,710 - Penney Farms Town Hall,319,92,64,163
Jo Jorgensen ,President ,,LPF,Clay,710 - Penney Farms Town Hall,0,0,0,0
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,710 - Penney Farms Town Hall,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,710 - Penney Farms Town Hall,1,0,0,1
Howie Hawkins,President ,,GRE,Clay,710 - Penney Farms Town Hall,0,0,0,0
Don Blankenship,President ,,CPF,Clay,710 - Penney Farms Town Hall,0,0,0,0
Write-In,President ,,NPA,Clay,710 - Penney Farms Town Hall,1,0,1,0
Over Votes,President ,,,Clay,710 - Penney Farms Town Hall,2,0,0,2
Under Votes,President ,,,Clay,710 - Penney Farms Town Hall,3,0,1,2
Kat Cammack,US House,3,REP,Clay,710 - Penney Farms Town Hall,576,166,198,212
Adam Christensen,US House,3,DEM,Clay,710 - Penney Farms Town Hall,296,83,61,152
Over Votes,US House,3,,Clay,710 - Penney Farms Town Hall,1,0,0,1
Under Votes,US House,3,,Clay,710 - Penney Farms Town Hall,30,11,2,17
Jennifer Bradley,State Senate,5,REP,Clay,710 - Penney Farms Town Hall,594,177,198,219
Melina Rayna Barratt,State Senate,5,DEM,Clay,710 - Penney Farms Town Hall,274,70,58,146
Over Votes,State Senate,5,,Clay,710 - Penney Farms Town Hall,0,0,0,0
Under Votes,State Senate,5,,Clay,710 - Penney Farms Town Hall,35,13,5,17
Bobby Payne,State House,19,REP,Clay,710 - Penney Farms Town Hall,565,162,192,211
Kimberly Dugger,State House,19,DEM,Clay,710 - Penney Farms Town Hall,299,82,64,153
Over Votes,State House,19,,Clay,710 - Penney Farms Town Hall,0,0,0,0
Under Votes,State House,19,,Clay,710 - Penney Farms Town Hall,39,16,5,18
