county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Madison,6,Justice of the Supreme Court-Couriel,"","",No,76,,,
Madison,7,Justice of the Supreme Court-Couriel,"","",No,213,106,66,41
Madison,1,Justice of the Supreme Court-Grosshans,"","",Yes,755,387,263,105
Madison,8,Justice of the Supreme Court-Grosshans,"","",Yes,465,250,179,36
Madison,9,Justice of the Supreme Court-Grosshans,"","",Yes,95,,,
Madison,10,Justice of the Supreme Court-Grosshans,"","",Yes,493,206,198,89
Madison,11,Justice of the Supreme Court-Grosshans,"","",Yes,285,,,
Madison,2,Justice of the Supreme Court-Grosshans,"","",Yes,97,,,
Madison,3,Justice of the Supreme Court-Grosshans,"","",Yes,941,452,397,92
Madison,4,Justice of the Supreme Court-Grosshans,"","",Yes,178,,,
Madison,5,Justice of the Supreme Court-Grosshans,"","",Yes,358,103,206,49
Madison,6,Justice of the Supreme Court-Grosshans,"","",Yes,126,,,
Madison,7,Justice of the Supreme Court-Grosshans,"","",Yes,506,252,185,69
Madison,1,Justice of the Supreme Court-Grosshans,"","",No,386,168,155,63
Madison,8,Justice of the Supreme Court-Grosshans,"","",No,194,,,
Madison,9,Justice of the Supreme Court-Grosshans,"","",No,53,,,
Madison,10,Justice of the Supreme Court-Grosshans,"","",No,241,103,78,60
Madison,11,Justice of the Supreme Court-Grosshans,"","",No,228,100,93,35
Madison,2,Justice of the Supreme Court-Grosshans,"","",No,71,,,
Madison,3,Justice of the Supreme Court-Grosshans,"","",No,384,166,160,58
Madison,4,Justice of the Supreme Court-Grosshans,"","",No,61,,,
Madison,5,Justice of the Supreme Court-Grosshans,"","",No,227,66,124,37
Madison,6,Justice of the Supreme Court-Grosshans,"","",No,79,,,
Madison,7,Justice of the Supreme Court-Grosshans,"","",No,220,107,69,44
Madison,1,Justice of the Supreme Court-Labarga,"","",Yes,515,234,199,82
Madison,8,Justice of the Supreme Court-Labarga,"","",Yes,300,130,130,40
Madison,9,Justice of the Supreme Court-Labarga,"","",Yes,68,,,
Madison,10,Justice of the Supreme Court-Labarga,"","",Yes,392,152,149,91
Madison,11,Justice of the Supreme Court-Labarga,"","",Yes,206,82,93,31
Madison,2,Justice of the Supreme Court-Labarga,"","",Yes,80,,,
Madison,3,Justice of the Supreme Court-Labarga,"","",Yes,548,250,226,72
Madison,4,Justice of the Supreme Court-Labarga,"","",Yes,104,,,
Madison,5,Justice of the Supreme Court-Labarga,"","",Yes,300,79,176,45
Madison,6,Justice of the Supreme Court-Labarga,"","",Yes,92,,,
Madison,7,Justice of the Supreme Court-Labarga,"","",Yes,316,130,128,58
Madison,1,Justice of the Supreme Court-Labarga,"","",No,632,329,216,87
Madison,8,Justice of the Supreme Court-Labarga,"","",No,356,,,
Madison,9,Justice of the Supreme Court-Labarga,"","",No,81,,,
Madison,10,Justice of the Supreme Court-Labarga,"","",No,347,159,127,61
Madison,11,Justice of the Supreme Court-Labarga,"","",No,308,150,125,33
Madison,2,Justice of the Supreme Court-Labarga,"","",No,91,,,
Madison,3,Justice of the Supreme Court-Labarga,"","",No,770,366,327,77
Madison,4,Justice of the Supreme Court-Labarga,"","",No,132,,,
Madison,5,Justice of the Supreme Court-Labarga,"","",No,276,86,149,41
Madison,6,Justice of the Supreme Court-Labarga,"","",No,110,,,
Madison,7,Justice of the Supreme Court-Labarga,"","",No,412,231,125,56
Madison,1,Justice of the Supreme Court-Polston,"","",Yes,725,365,256,104
Madison,8,Justice of the Supreme Court-Polston,"","",Yes,465,238,184,43
Madison,9,Justice of the Supreme Court-Polston,"","",Yes,94,,,
Madison,10,Justice of the Supreme Court-Polston,"","",Yes,478,203,187,88
Madison,11,Justice of the Supreme Court-Polston,"","",Yes,266,,,
Madison,2,Justice of the Supreme Court-Polston,"","",Yes,99,,,
Madison,3,Justice of the Supreme Court-Polston,"","",Yes,895,424,376,95
Madison,4,Justice of the Supreme Court-Polston,"","",Yes,157,,,
Madison,5,Justice of the Supreme Court-Polston,"","",Yes,345,95,206,44
Madison,6,Justice of the Supreme Court-Polston,"","",Yes,124,,,
Madison,7,Justice of the Supreme Court-Polston,"","",Yes,487,240,181,66
Madison,1,Justice of the Supreme Court-Polston,"","",No,420,192,164,64
Madison,8,Justice of the Supreme Court-Polston,"","",No,191,,,
Madison,9,Justice of the Supreme Court-Polston,"","",No,56,,,
Madison,10,Justice of the Supreme Court-Polston,"","",No,261,109,89,63
Madison,11,Justice of the Supreme Court-Polston,"","",No,245,110,100,35
Madison,2,Justice of the Supreme Court-Polston,"","",No,74,,,
Madison,3,Justice of the Supreme Court-Polston,"","",No,425,193,179,53
Madison,4,Justice of the Supreme Court-Polston,"","",No,81,,,
Madison,5,Justice of the Supreme Court-Polston,"","",No,228,68,119,41
Madison,6,Justice of the Supreme Court-Polston,"","",No,79,,,
Madison,7,Justice of the Supreme Court-Polston,"","",No,235,115,72,48
Madison,1,First District Court of Appeal-Bilbrey,"","",Yes,736,366,266,104
Madison,8,First District Court of Appeal-Bilbrey,"","",Yes,466,248,180,38
Madison,9,First District Court of Appeal-Bilbrey,"","",Yes,96,,,
Madison,10,First District Court of Appeal-Bilbrey,"","",Yes,491,200,197,94
Madison,11,First District Court of Appeal-Bilbrey,"","",Yes,279,,,
Madison,2,First District Court of Appeal-Bilbrey,"","",Yes,97,,,
Madison,3,First District Court of Appeal-Bilbrey,"","",Yes,889,427,371,91
